,source,published,title,abstract,type,scrapper,label,query_date,query_pattern
0,PLOS ONE,2022-08-04T00:00:00Z,Safety evaluation of visual load at entrance and exit of extra-long expressway tunnel based on optimized support vector regression,"['\nThe traffic environment of an extra-long expressway tunnel is more complex than that of a long tunnel, which increases the driving risk. The visual load of drivers can be used to evaluate driving safety and comfort. To reveal drivers’ visual load characteristics at the entrance and exit of extra-long tunnels on mountainous expressways, this study conducted vehicle tests with 12 drivers at Gonghe extra-long tunnel on the Yu-Xiang expressway in the Wulong District. An eye tracker, non-contact multifunctional velocimetry, illuminometer, and other test equipment were used to record drivers’ pupil areas, velocity, and illuminance when entering and leaving the tunnel. The change characteristics of drivers’ pupil areas were studied. The maximum transient velocity value (MTPA) of the pupil area was selected as an index to evaluate the visual load degree. Based on velocity and illuminance coupling, a visual load model was constructed using the optimized support vector machine (GA-SVM). The influence of velocity and illuminance on the MTPA in the tunnel’s approach, entrance, exit, and departure section was analyzed. The results show that drivers’ psychological tension order at the entrance and exit is entrance section ≈ exit section > departure section > approach section. In the approach section, the visual load is mainly affected by environmental illumination. In the entrance and exit sections, the visual load is positively correlated with velocity and negatively correlated with illuminance, and velocity has a greater impact on visual load. In the tunnel departure section, the two variables synergistically influence the driving visual load. The research results provide theoretical support for the safety design and management of extra-long tunnel entrances and exits.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
1,PLOS ONE,2022-08-24T00:00:00Z,Safety evaluation of rail transit vehicle system based on improved AHP-GA,"['\nThe rail transit vehicle system is an important subsystem with the most frequent operation accidents and the most direct impact on passengers. Based on the particularity of the vehicle system and the complexity of the system, the hierarchical analysis method (AHP) is used to evaluate its safety. High-order judgment matrix often has inconsistency, and the judgment matrix consistency guarantee is the key to the hierarchical analysis method applied. Based on the hierarchical analysis principle, this paper corrects the inconsistency judgment matrix and realizes the optimization calculation based on the genetic algorithm. This paper constructs a vehicle system safety evaluation index system including 26 indexes at three layers and uses the fuzzy comprehensive evaluation method to evaluate the system safety level. The results show that the calculation results based on the improved AHP-GA are significantly better than that based on the conventional AHP method. The comprehensive evaluation conclusion of the case is ""average"", and the safety level of the vehicle system of the case enterprise needs to be strengthened.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
2,PLOS ONE,2022-08-04T00:00:00Z,The role of repetitive thinking and spirituality in the development of posttraumatic growth and symptoms of posttraumatic stress disorder,"['\nBoth post-traumatic growth (PTG) and post-traumatic stress disorder (PTSD) are associated with spirituality and different kinds of repetitive thinking, such as deliberate rumination (DR) and intrusive rumination (IR), respectively. This study aimed to examine if spirituality modifies the relationship between types of rumination and trauma outcomes. Ninety-six students completed an online survey of four questionnaires in a cross-sectional online survey: The Posttraumatic Stress Diagnostic Scale, the Event Related Rumination Inventory, the Posttraumatic Growth Inventory-Short form and the Expressions of Spirituality Inventory- Revised. Findings revealed that spirituality was related to DR and PTG, but not to IR or PTSD symptoms. Moderation analysis showed that spirituality significantly moderated the relationship between PTG and DR, but not the relationship between PTSD and IR. These findings indicate that while spirituality has no relationship with negative outcomes of trauma, it may help individuals to ruminate in a constructive manner in order to develop positive outcomes.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
3,PLOS ONE,2022-08-09T00:00:00Z,Opioid prescriptions for individuals receiving workers’ compensation in Michigan,"['Purpose: We evaluated the prevalence of opioid prescriptions after injury and associated characteristics among workers receiving workers’ compensation for a lost work time injury. Methods: Injured workers identified in Michigan’s Workers’ Compensation records from 2016 to 2018 were linked to the opioid prescription history in the Michigan Automated Prescription System. Results: Among the 46,934 injured workers with paid claims, the prevalence of receiving an opioid prescription, morphine milligram equivalents (MME) per prescription, number of opioid prescription and probability of receiving opioids prescription>90 days after injury decreased from 2016–2018. Despite the decrease over 50% of the injured workers received an opioid prescription. Being over 34 years, a male, having had an opioid prescription before the injury, working in construction or having an amputation or sprain/strain of the shoulder had a significantly higher probability of receiving an opioid prescription, a higher MME per prescription, a higher number of opioid prescriptions and a higher probability having opioids prescription >90 days after the injury. Conclusions: Even though opioid prescribing patterns generally decreased from 2016 to 2018 (64.5–52.8%), injured workers in Michigan had a higher prevalence of opioid prescription after injury, than those reported from other states. ']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
4,PLOS ONE,2022-08-01T00:00:00Z,Developing an ecological approach to physical activity promotion in adults with Cystic fibrosis,"['Background: There are few examples of interventions designed to promote physical activity (PA) in adults with Cystic fibrosis (CF). Increasing levels of habitual PA may be more feasible and result in greater compliance than conventional exercise training inventions which give little or no attention to long-term PA behaviour. Despite this there is limited research exploring perceptions of PA among adults with CF. The study aimed to understand the ecological correlates of PA in adults with CF and to involve individuals with CF, their families (where applicable) and clinicians in a formative process to inform the development of an ecological approach to PA promotion in this population. Methods: An iterative approach was utilised, whereby findings from earlier phases of the research informed subsequent phases. Semi-structured interviews were conducted to explore patients’ perceptions of PA, devised using the PRECEDE component of the PRECEDE-PROCEED model. Followed by, focus groups to discuss the perceived barriers, facilitators and opportunities for PA participation and how this information could inform the development and delivery of a PA intervention. Separate focus groups were conducted with individuals with CF (n = 11) and their families and CF MDT members. Thematic analysis was used to construct themes. Results: Physical and mental wellbeing manifested as both barriers and facilitators of PA. CF is characterised by a progressive decline in physical function, which presents as a number of challenging symptoms and set-backs for an individual with CF. PA represents an opportunity for participants to slow the rate of this decline and manage the symptoms associated with the condition. Enjoyment was an important facilitator of PA. Exercise professionals and family reinforce PA behaviour, particularly during adolescence. Conclusions: PA promotion should form part of routine CF care with additional exercise professional support during adolescence. ']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
5,PLOS ONE,2022-08-01T00:00:00Z,Construct comprehensive indicators through a signal extraction approach for predicting housing price crises,"['\nIn this paper, a novel early warning system that has usually been applied to predict the financial stress events is established to predict the likelihood of housing price crises in China. To achieve this goal, a signal extraction approach is used to monitor the evolution of a number of economic indicators that tend to exhibit the abnormal behaviors. 13 economic variables were selected as the individual indicators, and constructed as the four comprehensive indicators. Our empirical work shows that the early warning system for urban housing price crises is suitable for China’s four province-level municipalities. The in-sample forecasting results indicate the reliability of the early warning system for urban housing price crises. By studying the out-of-sample forecasting results, the likelihood of housing price crises for the four cities can be effectively predicted. We construct a novel weighted average comprehensive indicator, which performs better than the three others in terms of overall performance across all of the criteria considered in. It is shown that the extended system is more flexible in decision making than the traditional early warning system.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
6,PLOS ONE,2022-08-04T00:00:00Z,Perceived barriers and enablers influencing physical activity in heart failure: A qualitative one-to-one interview study,"['\nIn heart failure (HF), increased physical activity is associated with improved quality of life, reduced hospitalisation, and increased longevity and is an important aim of treatment. However, physical activity levels in individuals living with HF are typically extremely low. This qualitative study with one-to-one interviews systematically explores perceived clinical, environmental, and psychosocial barriers and enablers in older adults (≥70 years old) living with HF. Semi-structured interviews (N = 16) based on the Theoretical Domains Framework elicited 39 belief statements describing the barriers and enablers to physical activity. Theoretical domains containing these beliefs and corresponding constructs that were both pervasive and common were deemed most relevant. These were: concerns about physical activity (Beliefs about Consequences), self-efficacy (Beliefs about Capabilities), social support (Social Influences), major health event (Environmental Context and Resources), goal behavioural (Goal), action planning (Behavioural Regulation). This work extends the limited research on the modifiable barriers and enablers for physical activity participation by individuals living with HF. The research findings provide insights for cardiologists, HF-specialist nurses, and physiotherapists to help co-design and deliver a physical activity intervention more likely to be effective for individuals living with HF.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
7,PLOS ONE,2022-08-11T00:00:00Z,Systemically injected bone marrow mononuclear cells specifically home to axially vascularized tissue engineering constructs,"['\nInducing axial vascularisation of tissue engineering constructs is a well-established method to support tissue growth in large 3-dimensional tissues. Progenitor cell chemotaxis towards axially vascularized tissues has not been well characterized. In a prospective randomized controlled study including 32 male syngeneic Lewis rats we investigated the capability of the axially vascularized constructs to attract systemically injected bone marrow mononuclear cells (BMMNCs). The underlying mechanism for cell homing was investigated focusing on the role of hypoxia and the SDF1-CXCR4-7 axis. Sixteen animals were used as donors for BMMNCs. The other animals were subjected to implantation of a tissue engineering construct in the subcutaneous groin region. These constructs were axially vascularized either via an arteriovenous loop (AVL, n = 6) or via uninterrupted flow-through vessels (non-AVL, n = 10). BMMNCs were labelled with quantum dots (Qdot® 655) and injected 12 days after surgery either via intra-arterial or intravenous routes. 2 days after cell injection, the animals were sacrificed and examined using fluorescence microscopy. The Qdot® 655 signals were detected exclusively in the liver, spleen, AVL constructs and to a minimal extent in the non-AVL constructs. A significant difference could be detected between the number of labelled cells in the AVL and non-AVL constructs with more cells detected in the AVL constructs specially in central zones (p <0.0001). The immunohistological analysis showed a significant increase in the absolute expression of HIF-1 in the AVL group in comparison to the non-AVL group. The PCR analysis confirmed a 1.4-fold increase in HIF-1 expression in AVL constructs. Although PCR analysis showed an enhanced expression of CXCR4 and CXCR7 in AVL constructs, no significant differences in SDF1 expression were detected via immunohistological or PCR analysis. At the examined time point, the AVL constructs can attract BMMNCs in a mechanism probably related to the hypoxia associated with a robust tissue formation.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
8,PLOS ONE,2022-08-08T00:00:00Z,High resolution DLP stereolithography to fabricate biocompatible hydroxyapatite structures that support osteogenesis,"['\nLithography based additive manufacturing techniques, specifically digital light processing (DLP), are considered innovative manufacturing techniques for orthopaedic implants because of their potential for construction of complex geometries using polymers, metals, and ceramics. Hydroxyapatite (HA) coupons, printed using DLP, were evaluated for biological performance in supporting viability, proliferation, and osteogenic differentiation of the human cell line U2OS and human mesenchymal stem cells (MSCs) up to 35 days in culture to determine feasibility for future use in development of complex scaffold geometries. Contact angle, profilometry, and scanning electron microscopy (SEM) measurements showed the HA coupons to be hydrophilic, porous, and having micro size surface roughness, all within favourable cell culture ranges. The study found no impact of leachable and extractables form the DLP printing process. Cells seeded on coupons exhibited morphologies comparable to conventional tissue culture polystyrene plates. Cell proliferation rates, as determined by direct cell count and the RealTime-GloTM MT Cell Viability Assay, were similar on HA coupons and standard tissue culture polystyrene plates). Osteogenic differentiation of human MSCs on HA coupons was confirmed using alkaline phosphatase, Alizarin Red S and von Kossa staining. The morphology of MSCs cultured in osteogenic medium for 14 to 35 days was similar on HA coupons and tissue culture polystyrene plates, with osteogenic (geometric, cuboidal morphology with dark nodules) and adipogenic (lipid vesicles and deposits) features. We conclude that the DLP process and LithaBone HA400 slurry are biocompatible and are suitable for osteogenic applications. Coupons served as an effective evaluation design in the characterization and visualization of cell responses on DLP printed HA material. Results support the feasibility of future technical development for 3D printing of sophisticated scaffold designs, which can be constructed to meet the mechanical, chemical, and porosity requirements of an artificial bone scaffold.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
9,PLOS ONE,2022-08-04T00:00:00Z,Sustainable human resource management the mediating role between work engagement and teamwork performance,"['\nThe present work aims to analyze the properties of the working conditions recorded in the Sixth European Working Conditions Survey (EWCS); with it, it has being built seven independent indexes about different aspects of work’ quality in the health sector, and these constructs are used to evaluate their effects on work engagement (WE). In this sense, the originality of incorporating teamwork as a modulating variable is included. To analyze the effects of the job quality index (JQI) on the WE, a logistic regression model is proposed for a total of 3044 workers within the health sector, differentiating between those who work or not in a team; in a first stage and these estimates are compared with those obtained using an artificial neural network model, and both are used for the consideration of the research hypotheses about several causal factor. An important contributions of the study, it is related to how work commitment is mainly influenced by prospects, social environment, intensity and earnings, all of them related to job performance. Therefore, knowledge of the determinants of work commitment and the ability to modulate its effects in teamwork environments is necessary for the development of truly sustainable Human Resources policies.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
